county area,county code,county polish name,latitude,longitude
5020.00000000000,0661,powiat Biała Podlaska,23.149561,52.029323
5759.00000000000,1262,powiat Nowy Sącz,20.716400,49.610238
128936.00000000000,2013,powiat wysokomazowiecki,22.520371,52.864564
96781.00000000000,2601,powiat buski,20.798967,50.455847
60793.00000000000,3008,powiat kępiński,17.956625,51.248668
93060.00000000000,3027,powiat turecki,18.493076,51.995795
91267.00000000000,2606,powiat opatowski,21.665842,50.878883
4313.00000000000,2263,powiat Słupsk,17.027734,54.460565
165352.00000000000,3209,powiat koszaliński,16.439887,54.109722
45816.00000000000,2402,powiat bielski,18.909305,49.805817
8451.00000000000,2467,powiat Jastrzębie-Zdrój,18.599610,49.960644
47137.00000000000,1217,powiat tatrzański,19.964454,49.303532
147375.00000000000,1211,powiat nowotarski,19.999181,49.493772
39060.00000000000,1408,powiat legionowski,20.937378,52.451804
87394.00000000000,2813,powiat olecki,22.408485,54.051307
73324.00000000000,2014,powiat zambrowski,22.247977,53.022703
36379.00000000000,2401,powiat będziński,19.113010,50.415319
100340.00000000000,3207,powiat kamieński,14.711137,53.911405
112969.00000000000,1429,powiat sokołowski,22.320828,52.495390
92496.00000000000,2809,powiat lidzbarski,20.427438,54.105784
9143.00000000000,2475,powiat Sosnowiec,19.215562,50.271234
58679.00000000000,0412,powiat rypiński,19.439941,53.072496
126919.00000000000,1406,powiat grójecki,20.870463,51.757526
116066.00000000000,1412,powiat miński,21.653697,52.184196
219145.00000000000,2201,powiat bytowski,17.378684,54.157482
205434.00000000000,2011,powiat sokólski,23.385729,53.435132
162441.00000000000,2005,powiat hajnowski,23.661034,52.708507
19805.00000000000,3263,powiat Świnoujście,14.325360,53.848222
111310.00000000000,2805,powiat ełcki,22.432115,53.816713
58154.00000000000,0205,powiat jaworski,16.091973,51.001034
10929.00000000000,0261,powiat Jelenia Góra,15.653749,50.850105
39543.00000000000,0207,powiat kamiennogórski,15.985699,50.755935
179792.00000000000,1419,powiat płocki,19.966013,52.554717
82664.00000000000,1424,powiat pułtuski,20.991725,52.671823
275346.00000000000,0601,powiat bialski,23.149929,51.972104
103178.00000000000,0606,powiat krasnostawski,23.099539,50.963409
96757.00000000000,1001,powiat bełchatowski,19.276252,51.369027
61715.00000000000,1003,powiat łaski,19.136750,51.558942
77312.00000000000,1004,powiat łęczycki,19.235888,52.105983
80594.00000000000,1009,powiat pajęczański,19.018466,51.141219
144114.00000000000,1012,powiat radomszczański,19.631022,51.064679
37000.00000000000,1019,powiat zduńskowolski,18.947411,51.620336
77075.00000000000,0804,powiat nowosolski,15.703512,51.842244
87949.00000000000,1811,powiat mielecki,21.397795,50.313784
138333.00000000000,2008,powiat moniecki,22.817033,53.445712
224360.00000000000,2604,powiat kielecki,20.881410,50.801472
70348.00000000000,3030,powiat wrzesiński,17.614306,52.240955
125488.00000000000,3003,powiat gnieźnieński,17.586833,52.553589
49435.00000000000,2209,powiat malborski,19.028037,54.063176
283748.00000000000,2814,powiat olsztyński,20.733034,53.778744
104314.00000000000,3213,powiat sławieński,16.582492,54.379045
95312.00000000000,2803,powiat działdowski,19.980639,53.288811
73816.00000000000,0204,powiat górowski,16.556269,51.636748
73043.00000000000,2216,powiat sztumski,19.261393,53.901229
83466.00000000000,2207,powiat kwidzyński,19.076787,53.746957
18994.00000000000,2465,powiat Dąbrowa Górnicza,19.288948,50.369808
47456.00000000000,0401,powiat aleksandrowski,18.780626,52.784314
71322.00000000000,3020,powiat pleszewski,17.823394,51.925292
68566.00000000000,1215,powiat suski,19.648306,49.701693
95620.00000000000,1434,powiat wołomiński,21.416303,52.406069
161626.00000000000,3204,powiat goleniowski,14.897349,53.610339
158705.00000000000,1609,powiat opolski,18.087082,50.735008
136418.00000000000,2202,powiat chojnicki,17.727762,53.801035
64503.00000000000,2413,powiat tarnogórski,18.879459,50.472562
105932.00000000000,1402,powiat ciechanowski,20.627656,52.902355
97477.00000000000,1608,powiat oleski,18.483063,50.878820
122122.00000000000,1416,powiat ostrowski,21.988740,52.794974
122956.00000000000,1206,powiat krakowski,19.707756,50.099924
130386.00000000000,0201,powiat bolesławiecki,15.521030,51.321671
139425.00000000000,0403,powiat bydgoski,17.825496,53.192161
63856.00000000000,1401,powiat białobrzeski,20.967620,51.620994
112091.00000000000,2205,powiat kartuski,18.108745,54.326857
23284.00000000000,2408,powiat mikołowski,18.830687,50.151035
8172.00000000000,2477,powiat Tychy,19.006781,50.126498
67395.00000000000,0409,powiat mogileński,18.022834,52.661747
83185.00000000000,1818,powiat stalowowolski,22.091767,50.591028
1722.00000000000,2264,powiat Sopot,18.561297,54.443049
67140.00000000000,2210,powiat nowodworski,19.145120,54.310263
72620.00000000000,3212,powiat pyrzycki,14.970189,53.127579
57217.00000000000,2211,powiat pucki,18.439873,54.696904
69833.00000000000,1814,powiat przeworski,22.486852,50.089147
61646.00000000000,1417,powiat otwocki,21.396341,52.048629
91626.00000000000,1407,powiat kozienicki,21.401891,51.639498
94983.00000000000,1207,powiat limanowski,20.296010,49.682608
67399.00000000000,1209,powiat myślenicki,19.976013,49.775045
61811.00000000000,1212,powiat olkuski,19.649184,50.319331
40621.00000000000,1213,powiat oświęcimski,19.296966,49.992270
6604.00000000000,1062,powiat Piotrków Trybunalski,19.688721,51.412906
88098.00000000000,1011,powiat poddębicki,18.964059,51.898263
